"plant_id","rill","block","section","pfc","year","P"
"A22","E","A",2,95,2011,0.1851
"A32","W","A",3,125,2010,0.4037
"A41","W","A",3,35,2011,0.2951
"A42","W","A",3,125,2010,0.2512
"B23","E","B",2,95,2011,0.3952
"C11","E","C",2,95,2011,0.3161
"C21","E","C",2,105,2010,0.4314
"C21","E","C",2,95,2011,0.3789
"C22","E","C",2,95,2011,0.2853
"C23","E","C",2,95,2011,0.2515
"D21","E","D",2,95,2011,0.4462
"D22","E","D",2,95,2011,0.2742
"D23","E","D",2,105,2010,0.3274
"D23","E","D",2,95,2011,0.3854
"D42","W","D",3,125,2010,0.8033
"D42","W","D",3,35,2011,0.2583
"E23","E","E",2,95,2011,0.3292
"F11","E","F",2,105,2010,0.583
"F11","E","F",2,95,2011,0.2898
"F31","W","F",3,35,2011,0.2822
"G11","E","G",2,95,2011,0.4106
"G12","E","G",2,105,2010,0.6109
"G12","E","G",2,95,2011,0.3046
"G41","W","G",3,125,2010,0.5211
"G41","W","G",3,35,2011,0.2486
"H32","W","H",3,125,2010,0.435
"H32","W","H",3,35,2011,0.215
"H43","W","H",3,35,2011,0.229
"I11","E","I",1,260,2010,0.3643
"I11","E","I",1,220,2011,0.2237
"I14","E","I",1,260,2010,0.307
"I14","E","I",1,220,2011,0.2593
"I15","E","I",1,260,2010,0.4892
"I15","E","I",1,220,2011,0.2522
"I16","E","I",1,260,2010,0.5382
"I16","E","I",1,220,2011,0.4004
"I21","E","I",1,260,2010,0.3845
"I21","E","I",1,220,2011,0.2591
"I22","E","I",1,260,2010,0.6285
"I22","E","I",1,220,2011,0.3
"I23","E","I",1,260,2010,0.4655
"I23","E","I",1,220,2011,0.2892
"I26","E","I",1,260,2010,0.6149
"I26","E","I",1,220,2011,0.3396
"I34","W","I",3,125,2010,0.4949
"I34","W","I",3,35,2011,0.3112
"I36","W","I",3,125,2010,0.5562
"I36","W","I",3,35,2011,0.2422
"I42","W","I",3,125,2010,0.5657
"I42","W","I",3,35,2011,0.3344
"I44","W","I",3,125,2010,0.4056
"I44","W","I",3,35,2011,0.1627
"I46","W","I",3,125,2010,0.4186
"I46","W","I",3,35,2011,0.3484
"J11","E","J",1,260,2010,0.7124
"J11","E","J",1,220,2011,0.4954
"J12","E","J",1,220,2011,0.2944
"J13","E","J",1,220,2011,0.4301
"J14","E","J",1,260,2010,0.5499
"J14","E","J",1,220,2011,0.2706
"J15","E","J",1,260,2010,0.412
"J15","E","J",1,220,2011,0.5934
"J16","E","J",1,260,2010,0.3233
"J16","E","J",1,220,2011,0.4372
"J21","E","J",1,260,2010,0.6693
"J21","E","J",1,220,2011,0.5695
"J22","E","J",1,260,2010,0.4744
"J22","E","J",1,220,2011,0.3616
"J23","E","J",1,260,2010,0.3265
"J23","E","J",1,220,2011,0.443
"J24","E","J",1,260,2010,0.522
"J24","E","J",1,220,2011,0.4984
"J25","E","J",1,260,2010,0.5964
"J25","E","J",1,220,2011,0.5496
"J26","E","J",1,260,2010,0.4063
"J26","E","J",1,220,2011,0.5211
"J33","W","J",3,125,2010,0.4317
"J35","W","J",3,125,2010,0.5671
"J35","W","J",3,35,2011,0.2083
"J42","W","J",3,125,2010,0.5206
"J42","W","J",3,35,2011,0.2621
"J45","W","J",3,125,2010,0.5608
"J46","W","J",3,125,2010,0.5121
"K11","E","K",1,260,2010,0.4038
"K11","E","K",1,220,2011,0.4274
"K12","E","K",1,220,2011,0.4175
"K14","E","K",1,260,2010,0.3752
"K14","E","K",1,220,2011,0.3078
"K16","E","K",1,260,2010,0.5055
"K16","E","K",1,220,2011,0.6524
"K22","E","K",1,260,2010,0.3832
"K22","E","K",1,220,2011,0.5374
"K26","E","K",1,220,2011,0.4244
"K36","W","K",3,125,2010,0.4603
"K36","W","K",3,35,2011,0.2683
"K42","W","K",3,125,2010,0.5726
"K42","W","K",3,35,2011,0.1889
"L12","E","L",1,260,2010,0.3914
"L12","E","L",1,220,2011,0.4662
"L13","E","L",1,260,2010,0.293
"L13","E","L",1,220,2011,0.4508
"L14","E","L",1,220,2011,0.3661
"L16","E","L",1,260,2010,0.3071
"L16","E","L",1,220,2011,0.5034
"L21","E","L",1,260,2010,0.4378
"L21","E","L",1,220,2011,0.462
"L24","E","L",1,260,2010,0.5325
"L24","E","L",1,220,2011,0.4207
"L25","E","L",1,260,2010,0.5289
"L25","E","L",1,220,2011,0.5157
"L26","E","L",1,260,2010,0.4833
"L26","E","L",1,220,2011,0.4699
"L41","W","L",3,125,2010,0.5173
"M13","E","M",1,260,2010,0.4656
"M13","E","M",1,220,2011,0.4335
"M16","E","M",1,220,2011,0.3688
"M22","E","M",1,260,2010,0.3626
"M22","E","M",1,220,2011,0.5515
"M26","E","M",1,220,2011,0.4866
"M34","W","M",3,35,2011,0.3547
"M44","W","M",3,35,2011,0.3672
