"transect","point","type","geometry"
"B",0,"upland",c(-122.157883765492, 46.2547567675266)
"B",100,"upland",c(-122.159271577655, 46.2547849845764)
"B",200,"upland",c(-122.160477635, 46.2548208498319)
"B",300,"upland",c(-122.161788436391, 46.2547944707047)
"B",400,"upland",c(-122.163098141525, 46.2548400683644)
"B",500,"upland",c(-122.16439555966, 46.2548405612636)
"B",600,"upland",c(-122.165679868724, 46.2548499437135)
"B",700,"upland",c(-122.166990260348, 46.2548505018415)
"B",800,"upland",c(-122.168326869962, 46.2548332357541)
"B",900,"upland",c(-122.169597935628, 46.2548604777409)
"B",1000,"upland",c(-122.170868867116, 46.2548967045895)
"B",1050,"upland",c(-122.171517509705, 46.254901408254)
"B",1100,"upland",c(-122.172244395814, 46.2548796749849)
"B",1150,"upland",c(-122.172801822509, 46.2549107106455)
"B",1200,"upland",c(-122.173463844061, 46.2548885001425)
"B",1250,"upland",c(-122.174099108811, 46.2549200923439)
"B",1300,"upland",c(-122.174747887201, 46.254915778663)
"B",1350,"upland",c(-122.175396395759, 46.2549294593119)
"B",1400,"upland",c(-122.176045713395, 46.2548891422266)
"B",1450,"upland",c(-122.176693548672, 46.25494781056)
"B",1500,"upland",c(-122.177368676856, 46.2549166718556)
"B",1550,"upland",c(-122.178004078935, 46.2549392433441)
"B",1600,"upland",c(-122.178652857548, 46.2549349074839)
"B",1650,"upland",c(-122.179301099103, 46.2549665640037)
"B",1700,"upland",c(-122.179950280473, 46.2549352237249)
"B",1750,"upland",c(-122.180585952105, 46.254939782823)
"B",1800,"upland",c(-122.181247301814, 46.254962522292)
"B",1850,"upland",c(-122.181869867233, 46.2549759803371)
"B",1900,"upland",c(-122.182544725807, 46.2549628090696)
"B",1950,"upland",c(-122.183167158024, 46.2549852590707)
"B",2000,"upland",c(-122.183841882996, 46.2549810791643)
"C",0,"upland",c(-122.15797843999, 46.250266471937)
"C",50,"upland",c(-122.158691746861, 46.2502807248516)
"C",100,"upland",c(-122.159262640182, 46.2502759258174)
"C",150,"upland",c(-122.159988919349, 46.2502902660545)
"C",200,"upland",c(-122.160572784475, 46.2502855558097)
"C",250,"upland",c(-122.161286092492, 46.2502997925292)
"C",300,"upland",c(-122.161882381122, 46.2503311667138)
"C",350,"upland",c(-122.162583266291, 46.2503093042756)
